unit	display	templates	category	archetype	family
su-hai-long-khach-hang	sự hài lòng khách hàng	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	satisfaction
su-hai-long-cong-viec	sự hài lòng công việc	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	satisfaction
su-hai-long-sinh-vien	sự hài lòng sinh viên	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	satisfaction
su-hai-long-du-khach	sự hài lòng du khách	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	satisfaction
long-trung-thanh-khach-hang	lòng trung thành khách hàng	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	loyalty
long-trung-thanh-thuong-hieu	lòng trung thành thương hiệu	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	loyalty
y-dinh-quay-lai	ý định quay lại	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	loyalty
y-dinh-truyen-mieng	ý định truyền miệng	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	loyalty
chi-phi-chuyen-doi	chi phí chuyển đổi	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	loyalty
rao-can-chuyen-doi	rào cản chuyển đổi	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	loyalty
y-dinh-mua	ý định mua	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
y-dinh-mua-lai	ý định mua lại	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
y-dinh-su-dung	ý định sử dụng	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
y-dinh-hanh-vi	ý định hành vi	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
quyet-dinh-mua	quyết định mua	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
hanh-vi-mua-ngau-hung	hành vi mua ngẫu hứng	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
y-dinh-tiep-tuc-su-dung	ý định tiếp tục sử dụng	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
y-dinh-mua-san-pham-xanh	ý định mua sản phẩm xanh	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
y-dinh-khoi-nghiep	ý định khởi nghiệp	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	intention
nhan-biet-thuong-hieu	nhận biết thương hiệu	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	brand
hinh-anh-thuong-hieu	hình ảnh thương hiệu	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	brand
gia-tri-thuong-hieu	giá trị thương hiệu	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	brand
tinh-yeu-thuong-hieu	tình yêu thương hiệu	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	brand
uy-tin-thuong-hieu	uy tín thương hiệu	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	brand
chat-luong-dich-vu	chất lượng dịch vụ	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	quality
chat-luong-san-pham	chất lượng sản phẩm	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	quality
chat-luong-cam-nhan	chất lượng cảm nhận	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	quality
chat-luong-thong-tin	chất lượng thông tin	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	quality
chat-luong-he-thong	chất lượng hệ thống	thang đo {display};{display} là gì	mo-hinh-nghien-cuu	scale	quality
