keyword	axis	unit	family	category	archetype
thang đo sự hài lòng khách hàng	construct-scale	su-hai-long-khach-hang	satisfaction	mo-hinh-nghien-cuu	scale
sự hài lòng khách hàng là gì	construct-scale	su-hai-long-khach-hang	satisfaction	mo-hinh-nghien-cuu	scale
thang đo sự hài lòng công việc	construct-scale	su-hai-long-cong-viec	satisfaction	mo-hinh-nghien-cuu	scale
sự hài lòng công việc là gì	construct-scale	su-hai-long-cong-viec	satisfaction	mo-hinh-nghien-cuu	scale
thang đo sự hài lòng sinh viên	construct-scale	su-hai-long-sinh-vien	satisfaction	mo-hinh-nghien-cuu	scale
sự hài lòng sinh viên là gì	construct-scale	su-hai-long-sinh-vien	satisfaction	mo-hinh-nghien-cuu	scale
thang đo sự hài lòng du khách	construct-scale	su-hai-long-du-khach	satisfaction	mo-hinh-nghien-cuu	scale
sự hài lòng du khách là gì	construct-scale	su-hai-long-du-khach	satisfaction	mo-hinh-nghien-cuu	scale
thang đo lòng trung thành khách hàng	construct-scale	long-trung-thanh-khach-hang	loyalty	mo-hinh-nghien-cuu	scale
lòng trung thành khách hàng là gì	construct-scale	long-trung-thanh-khach-hang	loyalty	mo-hinh-nghien-cuu	scale
thang đo lòng trung thành thương hiệu	construct-scale	long-trung-thanh-thuong-hieu	loyalty	mo-hinh-nghien-cuu	scale
lòng trung thành thương hiệu là gì	construct-scale	long-trung-thanh-thuong-hieu	loyalty	mo-hinh-nghien-cuu	scale
thang đo ý định quay lại	construct-scale	y-dinh-quay-lai	loyalty	mo-hinh-nghien-cuu	scale
ý định quay lại là gì	construct-scale	y-dinh-quay-lai	loyalty	mo-hinh-nghien-cuu	scale
thang đo ý định truyền miệng	construct-scale	y-dinh-truyen-mieng	loyalty	mo-hinh-nghien-cuu	scale
ý định truyền miệng là gì	construct-scale	y-dinh-truyen-mieng	loyalty	mo-hinh-nghien-cuu	scale
thang đo chi phí chuyển đổi	construct-scale	chi-phi-chuyen-doi	loyalty	mo-hinh-nghien-cuu	scale
chi phí chuyển đổi là gì	construct-scale	chi-phi-chuyen-doi	loyalty	mo-hinh-nghien-cuu	scale
thang đo rào cản chuyển đổi	construct-scale	rao-can-chuyen-doi	loyalty	mo-hinh-nghien-cuu	scale
rào cản chuyển đổi là gì	construct-scale	rao-can-chuyen-doi	loyalty	mo-hinh-nghien-cuu	scale
thang đo ý định mua	construct-scale	y-dinh-mua	intention	mo-hinh-nghien-cuu	scale
ý định mua là gì	construct-scale	y-dinh-mua	intention	mo-hinh-nghien-cuu	scale
thang đo ý định mua lại	construct-scale	y-dinh-mua-lai	intention	mo-hinh-nghien-cuu	scale
ý định mua lại là gì	construct-scale	y-dinh-mua-lai	intention	mo-hinh-nghien-cuu	scale
thang đo ý định sử dụng	construct-scale	y-dinh-su-dung	intention	mo-hinh-nghien-cuu	scale
ý định sử dụng là gì	construct-scale	y-dinh-su-dung	intention	mo-hinh-nghien-cuu	scale
thang đo ý định hành vi	construct-scale	y-dinh-hanh-vi	intention	mo-hinh-nghien-cuu	scale
ý định hành vi là gì	construct-scale	y-dinh-hanh-vi	intention	mo-hinh-nghien-cuu	scale
thang đo quyết định mua	construct-scale	quyet-dinh-mua	intention	mo-hinh-nghien-cuu	scale
quyết định mua là gì	construct-scale	quyet-dinh-mua	intention	mo-hinh-nghien-cuu	scale
thang đo hành vi mua ngẫu hứng	construct-scale	hanh-vi-mua-ngau-hung	intention	mo-hinh-nghien-cuu	scale
hành vi mua ngẫu hứng là gì	construct-scale	hanh-vi-mua-ngau-hung	intention	mo-hinh-nghien-cuu	scale
thang đo ý định tiếp tục sử dụng	construct-scale	y-dinh-tiep-tuc-su-dung	intention	mo-hinh-nghien-cuu	scale
ý định tiếp tục sử dụng là gì	construct-scale	y-dinh-tiep-tuc-su-dung	intention	mo-hinh-nghien-cuu	scale
thang đo ý định mua sản phẩm xanh	construct-scale	y-dinh-mua-san-pham-xanh	intention	mo-hinh-nghien-cuu	scale
ý định mua sản phẩm xanh là gì	construct-scale	y-dinh-mua-san-pham-xanh	intention	mo-hinh-nghien-cuu	scale
thang đo ý định khởi nghiệp	construct-scale	y-dinh-khoi-nghiep	intention	mo-hinh-nghien-cuu	scale
ý định khởi nghiệp là gì	construct-scale	y-dinh-khoi-nghiep	intention	mo-hinh-nghien-cuu	scale
thang đo nhận biết thương hiệu	construct-scale	nhan-biet-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
nhận biết thương hiệu là gì	construct-scale	nhan-biet-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
thang đo hình ảnh thương hiệu	construct-scale	hinh-anh-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
hình ảnh thương hiệu là gì	construct-scale	hinh-anh-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
thang đo giá trị thương hiệu	construct-scale	gia-tri-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
giá trị thương hiệu là gì	construct-scale	gia-tri-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
thang đo tình yêu thương hiệu	construct-scale	tinh-yeu-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
tình yêu thương hiệu là gì	construct-scale	tinh-yeu-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
thang đo uy tín thương hiệu	construct-scale	uy-tin-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
uy tín thương hiệu là gì	construct-scale	uy-tin-thuong-hieu	brand	mo-hinh-nghien-cuu	scale
thang đo chất lượng dịch vụ	construct-scale	chat-luong-dich-vu	quality	mo-hinh-nghien-cuu	scale
chất lượng dịch vụ là gì	construct-scale	chat-luong-dich-vu	quality	mo-hinh-nghien-cuu	scale
thang đo chất lượng sản phẩm	construct-scale	chat-luong-san-pham	quality	mo-hinh-nghien-cuu	scale
chất lượng sản phẩm là gì	construct-scale	chat-luong-san-pham	quality	mo-hinh-nghien-cuu	scale
thang đo chất lượng cảm nhận	construct-scale	chat-luong-cam-nhan	quality	mo-hinh-nghien-cuu	scale
chất lượng cảm nhận là gì	construct-scale	chat-luong-cam-nhan	quality	mo-hinh-nghien-cuu	scale
thang đo chất lượng thông tin	construct-scale	chat-luong-thong-tin	quality	mo-hinh-nghien-cuu	scale
chất lượng thông tin là gì	construct-scale	chat-luong-thong-tin	quality	mo-hinh-nghien-cuu	scale
thang đo chất lượng hệ thống	construct-scale	chat-luong-he-thong	quality	mo-hinh-nghien-cuu	scale
chất lượng hệ thống là gì	construct-scale	chat-luong-he-thong	quality	mo-hinh-nghien-cuu	scale
thang đo chất lượng dịch vụ điện tử	construct-scale	chat-luong-dich-vu-dien-tu	quality	mo-hinh-nghien-cuu	scale
chất lượng dịch vụ điện tử là gì	construct-scale	chat-luong-dich-vu-dien-tu	quality	mo-hinh-nghien-cuu	scale
thang đo chất lượng đào tạo	construct-scale	chat-luong-dao-tao	quality	mo-hinh-nghien-cuu	scale
chất lượng đào tạo là gì	construct-scale	chat-luong-dao-tao	quality	mo-hinh-nghien-cuu	scale
thang đo sự tin cậy	construct-scale	su-tin-cay	quality	mo-hinh-nghien-cuu	scale
sự tin cậy là gì	construct-scale	su-tin-cay	quality	mo-hinh-nghien-cuu	scale
thang đo sự đáp ứng	construct-scale	su-dap-ung	quality	mo-hinh-nghien-cuu	scale
sự đáp ứng là gì	construct-scale	su-dap-ung	quality	mo-hinh-nghien-cuu	scale
thang đo năng lực phục vụ	construct-scale	nang-luc-phuc-vu	quality	mo-hinh-nghien-cuu	scale
năng lực phục vụ là gì	construct-scale	nang-luc-phuc-vu	quality	mo-hinh-nghien-cuu	scale
thang đo sự đồng cảm	construct-scale	su-dong-cam	quality	mo-hinh-nghien-cuu	scale
sự đồng cảm là gì	construct-scale	su-dong-cam	quality	mo-hinh-nghien-cuu	scale
thang đo phương tiện hữu hình	construct-scale	phuong-tien-huu-hinh	quality	mo-hinh-nghien-cuu	scale
phương tiện hữu hình là gì	construct-scale	phuong-tien-huu-hinh	quality	mo-hinh-nghien-cuu	scale
thang đo giá cả cảm nhận	construct-scale	gia-ca-cam-nhan	value	mo-hinh-nghien-cuu	scale
giá cả cảm nhận là gì	construct-scale	gia-ca-cam-nhan	value	mo-hinh-nghien-cuu	scale
thang đo giá trị cảm nhận	construct-scale	gia-tri-cam-nhan	value	mo-hinh-nghien-cuu	scale
giá trị cảm nhận là gì	construct-scale	gia-tri-cam-nhan	value	mo-hinh-nghien-cuu	scale
thang đo giá trị hưởng thụ	construct-scale	gia-tri-huong-thu	value	mo-hinh-nghien-cuu	scale
giá trị hưởng thụ là gì	construct-scale	gia-tri-huong-thu	value	mo-hinh-nghien-cuu	scale
thang đo giá trị thực dụng	construct-scale	gia-tri-thuc-dung	value	mo-hinh-nghien-cuu	scale
giá trị thực dụng là gì	construct-scale	gia-tri-thuc-dung	value	mo-hinh-nghien-cuu	scale
thang đo sự thuận tiện	construct-scale	su-thuan-tien	value	mo-hinh-nghien-cuu	scale
sự thuận tiện là gì	construct-scale	su-thuan-tien	value	mo-hinh-nghien-cuu	scale
thang đo khuyến mãi	construct-scale	khuyen-mai	value	mo-hinh-nghien-cuu	scale
khuyến mãi là gì	construct-scale	khuyen-mai	value	mo-hinh-nghien-cuu	scale
thang đo tính hữu ích cảm nhận	construct-scale	tinh-huu-ich-cam-nhan	tam-construct	mo-hinh-nghien-cuu	scale
tính hữu ích cảm nhận là gì	construct-scale	tinh-huu-ich-cam-nhan	tam-construct	mo-hinh-nghien-cuu	scale
thang đo tính dễ sử dụng cảm nhận	construct-scale	tinh-de-su-dung-cam-nhan	tam-construct	mo-hinh-nghien-cuu	scale
tính dễ sử dụng cảm nhận là gì	construct-scale	tinh-de-su-dung-cam-nhan	tam-construct	mo-hinh-nghien-cuu	scale
thang đo thái độ	construct-scale	thai-do	tam-construct	mo-hinh-nghien-cuu	scale
thái độ là gì	construct-scale	thai-do	tam-construct	mo-hinh-nghien-cuu	scale
thang đo chuẩn chủ quan	construct-scale	chuan-chu-quan	tam-construct	mo-hinh-nghien-cuu	scale
chuẩn chủ quan là gì	construct-scale	chuan-chu-quan	tam-construct	mo-hinh-nghien-cuu	scale
thang đo nhận thức kiểm soát hành vi	construct-scale	nhan-thuc-kiem-soat-hanh-vi	tam-construct	mo-hinh-nghien-cuu	scale
nhận thức kiểm soát hành vi là gì	construct-scale	nhan-thuc-kiem-soat-hanh-vi	tam-construct	mo-hinh-nghien-cuu	scale
thang đo ảnh hưởng xã hội	construct-scale	anh-huong-xa-hoi	tam-construct	mo-hinh-nghien-cuu	scale
ảnh hưởng xã hội là gì	construct-scale	anh-huong-xa-hoi	tam-construct	mo-hinh-nghien-cuu	scale
thang đo điều kiện thuận lợi	construct-scale	dieu-kien-thuan-loi	tam-construct	mo-hinh-nghien-cuu	scale
điều kiện thuận lợi là gì	construct-scale	dieu-kien-thuan-loi	tam-construct	mo-hinh-nghien-cuu	scale
thang đo kỳ vọng nỗ lực	construct-scale	ky-vong-no-luc	tam-construct	mo-hinh-nghien-cuu	scale
kỳ vọng nỗ lực là gì	construct-scale	ky-vong-no-luc	tam-construct	mo-hinh-nghien-cuu	scale
thang đo kỳ vọng hiệu quả	construct-scale	ky-vong-hieu-qua	tam-construct	mo-hinh-nghien-cuu	scale
kỳ vọng hiệu quả là gì	construct-scale	ky-vong-hieu-qua	tam-construct	mo-hinh-nghien-cuu	scale
thang đo động lực hưởng thụ	construct-scale	dong-luc-huong-thu	tam-construct	mo-hinh-nghien-cuu	scale
động lực hưởng thụ là gì	construct-scale	dong-luc-huong-thu	tam-construct	mo-hinh-nghien-cuu	scale
thang đo thói quen	construct-scale	thoi-quen	tam-construct	mo-hinh-nghien-cuu	scale
thói quen là gì	construct-scale	thoi-quen	tam-construct	mo-hinh-nghien-cuu	scale
thang đo giá trị giá cả	construct-scale	gia-tri-gia-ca	tam-construct	mo-hinh-nghien-cuu	scale
giá trị giá cả là gì	construct-scale	gia-tri-gia-ca	tam-construct	mo-hinh-nghien-cuu	scale
thang đo tính tương thích	construct-scale	tinh-tuong-thich	tam-construct	mo-hinh-nghien-cuu	scale
tính tương thích là gì	construct-scale	tinh-tuong-thich	tam-construct	mo-hinh-nghien-cuu	scale
thang đo sự thích thú cảm nhận	construct-scale	su-thich-thu-cam-nhan	tam-construct	mo-hinh-nghien-cuu	scale
sự thích thú cảm nhận là gì	construct-scale	su-thich-thu-cam-nhan	tam-construct	mo-hinh-nghien-cuu	scale
thang đo niềm tin	construct-scale	niem-tin	trust	mo-hinh-nghien-cuu	scale
niềm tin là gì	construct-scale	niem-tin	trust	mo-hinh-nghien-cuu	scale
thang đo rủi ro cảm nhận	construct-scale	rui-ro-cam-nhan	trust	mo-hinh-nghien-cuu	scale
rủi ro cảm nhận là gì	construct-scale	rui-ro-cam-nhan	trust	mo-hinh-nghien-cuu	scale
thang đo an toàn bảo mật	construct-scale	an-toan-bao-mat	trust	mo-hinh-nghien-cuu	scale
an toàn bảo mật là gì	construct-scale	an-toan-bao-mat	trust	mo-hinh-nghien-cuu	scale
thang đo quyền riêng tư	construct-scale	quyen-rieng-tu	trust	mo-hinh-nghien-cuu	scale
quyền riêng tư là gì	construct-scale	quyen-rieng-tu	trust	mo-hinh-nghien-cuu	scale
thang đo sự hoài nghi	construct-scale	su-hoai-nghi	trust	mo-hinh-nghien-cuu	scale
sự hoài nghi là gì	construct-scale	su-hoai-nghi	trust	mo-hinh-nghien-cuu	scale
thang đo động lực làm việc	construct-scale	dong-luc-lam-viec	hrm	mo-hinh-nghien-cuu	scale
động lực làm việc là gì	construct-scale	dong-luc-lam-viec	hrm	mo-hinh-nghien-cuu	scale
thang đo cam kết tổ chức	construct-scale	cam-ket-to-chuc	hrm	mo-hinh-nghien-cuu	scale
cam kết tổ chức là gì	construct-scale	cam-ket-to-chuc	hrm	mo-hinh-nghien-cuu	scale
thang đo gắn kết công việc	construct-scale	gan-ket-cong-viec	hrm	mo-hinh-nghien-cuu	scale
gắn kết công việc là gì	construct-scale	gan-ket-cong-viec	hrm	mo-hinh-nghien-cuu	scale
thang đo căng thẳng công việc	construct-scale	cang-thang-cong-viec	hrm	mo-hinh-nghien-cuu	scale
căng thẳng công việc là gì	construct-scale	cang-thang-cong-viec	hrm	mo-hinh-nghien-cuu	scale
thang đo kiệt sức nghề nghiệp	construct-scale	kiet-suc-nghe-nghiep	hrm	mo-hinh-nghien-cuu	scale
kiệt sức nghề nghiệp là gì	construct-scale	kiet-suc-nghe-nghiep	hrm	mo-hinh-nghien-cuu	scale
thang đo ý định nghỉ việc	construct-scale	y-dinh-nghi-viec	hrm	mo-hinh-nghien-cuu	scale
ý định nghỉ việc là gì	construct-scale	y-dinh-nghi-viec	hrm	mo-hinh-nghien-cuu	scale
thang đo hiệu quả công việc	construct-scale	hieu-qua-cong-viec	hrm	mo-hinh-nghien-cuu	scale
hiệu quả công việc là gì	construct-scale	hieu-qua-cong-viec	hrm	mo-hinh-nghien-cuu	scale
thang đo hành vi công dân tổ chức	construct-scale	hanh-vi-cong-dan-to-chuc	hrm	mo-hinh-nghien-cuu	scale
hành vi công dân tổ chức là gì	construct-scale	hanh-vi-cong-dan-to-chuc	hrm	mo-hinh-nghien-cuu	scale
thang đo văn hóa tổ chức	construct-scale	van-hoa-to-chuc	hrm	mo-hinh-nghien-cuu	scale
văn hóa tổ chức là gì	construct-scale	van-hoa-to-chuc	hrm	mo-hinh-nghien-cuu	scale
thang đo lãnh đạo chuyển đổi	construct-scale	lanh-dao-chuyen-doi	hrm	mo-hinh-nghien-cuu	scale
lãnh đạo chuyển đổi là gì	construct-scale	lanh-dao-chuyen-doi	hrm	mo-hinh-nghien-cuu	scale
thang đo lãnh đạo chuyển giao	construct-scale	lanh-dao-chuyen-giao	hrm	mo-hinh-nghien-cuu	scale
lãnh đạo chuyển giao là gì	construct-scale	lanh-dao-chuyen-giao	hrm	mo-hinh-nghien-cuu	scale
thang đo môi trường làm việc	construct-scale	moi-truong-lam-viec	hrm	mo-hinh-nghien-cuu	scale
môi trường làm việc là gì	construct-scale	moi-truong-lam-viec	hrm	mo-hinh-nghien-cuu	scale
thang đo đào tạo và phát triển	construct-scale	dao-tao-va-phat-trien	hrm	mo-hinh-nghien-cuu	scale
đào tạo và phát triển là gì	construct-scale	dao-tao-va-phat-trien	hrm	mo-hinh-nghien-cuu	scale
thang đo lương thưởng phúc lợi	construct-scale	luong-thuong-phuc-loi	hrm	mo-hinh-nghien-cuu	scale
