keyword	search_volume	kd	note
spss	14800	4	category: spss
thống kê	14800	0	category: thong-ke
khảo sát	6600	0	category: khao-sat
nghiên cứu khoa học	6600	0	category: nghien-cuu-khoa-hoc
khóa luận tốt nghiệp	2900	0	category: khoa-luan-tot-nghiep
smartpls	2400	4	category: smartpls
phân tích dữ liệu	1600	0	category: phan-tich-du-lieu
thang đo likert	1600	0	post
cronbach alpha	1300	0	post
phương pháp nghiên cứu	1300	0	post (pillar)
luận văn thạc sĩ	1000	0	category: luan-van-thac-si
hồi quy tuyến tính	1000	0	post
mô hình nghiên cứu	720	0	category: mo-hinh-nghien-cuu
pls-sem	720	0	post
luận văn tốt nghiệp	590	4	post
thống kê mô tả	480	0	post
bảng câu hỏi khảo sát	170	0	post
viết luận văn	140	0	post
kiểm định giả thuyết	110		post
phân tích efa	0		no data returned (use 'efa' 1000 / 'phân tích nhân tố khám phá efa' - measure)
thang đo	0		no data returned
đề tài luận văn	0		no data returned
