slug	status	attempts	unlinked	prompt_tokens	output_tokens	usd	seconds	failures
cfa	ok	1	0	9841	4483	0.00735	35.2	
nghien-cuu-khoa-hoc	ok	1	0	9933	4091	0.00690	36.6	
phieu-khao-sat-online	ok	1	0	9799	4235	0.00704	51.1	
cach-ghi-tai-lieu-tham-khao	repaired	2	0	24477	9890	0.01676	88.7	
spss	repaired	2	0	24819	9896	0.01684	92.8	
nckh-la-gi	ok	1	0	9888	4895	0.00785	41.8	
smart-pls	ok	1	0	9884	4657	0.00757	49.0	
do-lech-chuan	ok	1	0	9944	4025	0.00682	49.3	
thap-nhu-cau-maslow	ok	1	0	9821	4472	0.00733	52.8	
bieu-mau-khao-sat	ok	1	0	9820	4483	0.00734	53.5	
ma-tran-xoay	repaired	2	0	24267	8998	0.01565	79.9	
cach-trich-dan-tai-lieu-tham-khao	ok	1	0	9832	4682	0.00758	35.8	
mo-hinh-swot	ok	1	0	9815	5225	0.00823	47.8	
sem-la-gi	ok	1	0	9901	4727	0.00765	48.6	
phuong-sai	ok	1	0	9929	4093	0.00690	48.6	
cronbach-alpha	ok	1	0	9971	4299	0.00715	53.0	
form-khao-sat	ok	1	0	9861	4554	0.00744	55.8	
ave-la-gi	ok	1	0	9891	4336	0.00718	43.5	
amos	ok	1	0	9877	4335	0.00718	49.2	
dinh-tinh-la-gi	ok	1	0	9916	4241	0.00707	52.1	
abstract	ok	1	0	9816	4161	0.00696	54.1	
porter-s-five-forces	ok	1	0	9841	4642	0.00754	57.1	
outlier	repaired	2	0	24340	8754	0.01537	75.2	
mo-hinh-aida	ok	1	0	9792	4649	0.00754	43.4	
partial-least-squares-la-gi	ok	1	0	9885	4545	0.00743	49.3	
efa	ok	1	0	9853	4779	0.00771	57.0	
thac-si	ok	1	0	9760	5648	0.00873	63.7	
linh-vuc-nghien-cuu	rejected	2	0	24492	9104	0.01582	69.9	0 distinct internal links, need at least 4
bang-hoi-la-gi	rejected	2	0	24891	9380	0.01623	77.0	1 distinct internal links, need at least 4
co-mau-la-gi	ok	1	0	9961	4277	0.00712	38.8	
doi-tuong-nghien-cuu	ok	1	0	9941	4198	0.00703	42.1	
outliers	ok	1	0	9873	4548	0.00743	44.6	
pls-sem	ok	1	0	9947	4616	0.00753	50.5	
mo-hinh-servqual	ok	1	0	9850	5222	0.00824	52.5	
check-turnitin	repaired	2	0	24307	9286	0.01600	76.7	
khao-sat-google	ok	1	0	9835	4337	0.00717	33.3	
dinh-luong-la-gi	ok	1	0	9917	4462	0.00734	50.3	
mo-hinh-sem	ok	1	0	9896	4258	0.00709	53.8	
hoi-quy-tuyen-tinh	ok	1	0	9907	5158	0.00817	65.2	
phu-luc-la-gi	rejected	2	0	24462	9310	0.01606	82.4	0 distinct internal links, need at least 4
cong-thuc-tinh-phuong-sai	repaired	2	0	24079	8396	0.01489	82.8	
khoa-luan-tot-nghiep	ok	1	0	9814	5010	0.00797	44.9	
moderating	ok	1	0	9853	4531	0.00741	45.1	
thong-ke-mo-ta	ok	1	0	9884	4302	0.00714	49.5	
gia-thuyet-la-gi	ok	1	0	9895	4560	0.00745	51.0	
likert-scale-la-gi	ok	1	0	9825	4834	0.00777	52.2	
du-lieu-thu-cap-la-gi	repaired	2	0	24574	8902	0.01560	77.0	
co-so-ly-luan-la-gi	ok	1	0	9942	4452	0.00733	34.5	
thang-do-likert	ok	1	0	9949	4453	0.00733	46.7	
bieu-do-boxplot	ok	1	0	9801	5119	0.00810	62.8	
mo-hinh-tam	ok	1	0	9836	5413	0.00846	66.4	
moderator	repaired	2	0	23992	8307	0.01477	78.2	
r-square	repaired	2	0	24392	8983	0.01566	100.4	
thang-do-likert-5-muc-do	ok	1	0	9914	4152	0.00697	25.0	
trung-vi	ok	1	0	9929	4260	0.00710	32.4	
servqual	ok	1	0	9875	5201	0.00822	44.2	
de-tai-nckh	ok	1	0	9886	5214	0.00823	60.1	
bien-dieu-tiet	repaired	2	0	24591	9195	0.01595	79.4	
bai-tap-hoi-quy-tuyen-tinh-co-loi-giai	repaired	2	0	24284	8843	0.01547	95.3	
dinh-tinh-va-dinh-luong-la-gi	ok	1	0	9973	4386	0.00726	35.6	
hoi-quy-logistic	ok	1	0	9873	4745	0.00767	41.2	
cong-thuc-phuong-sai	ok	1	0	9914	4335	0.00718	49.2	
vif-la-gi	repaired	2	0	24114	8673	0.01523	80.8	
